trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1235,False,"{'a': 0.002, 'e': 0.08475419800212207}",30,9,37.46134366412207,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
1236,False,"{'a': 0.002, 'e': 0.08458485900156469}",20,12,11.89092626689634,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1237,False,"{'a': 0.002, 'e': 0.08441585834055614}",20,9,0.03342366079358006,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
1238,False,"{'a': 0.002, 'e': 0.08424719534309347}",20,2,31.222632925215684,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1239,False,"{'a': 0.002, 'e': 0.08407886933452453}",30,20,13.232346894298553,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1240,False,"{'a': 0.002, 'e': 0.083910879641545}",20,6,1.7942353358140568,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
1241,False,"{'a': 0.002, 'e': 0.08374322559219596}",20,16,6.433331393406005,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1242,False,"{'a': 0.002, 'e': 0.0835759065158609}",20,12,15.74470237820554,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1243,False,"{'a': 0.002, 'e': 0.08340892174326339}",20,10,15.746370945169755,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1244,False,"{'a': 0.002, 'e': 0.08324227060646401}",25,15,15.458565448931598,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1245,False,"{'a': 0.002, 'e': 0.0830759524388581}",20,11,16.87501434671428,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1246,False,"{'a': 0.002, 'e': 0.08290996657517266}",30,13,18.20646243006683,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1247,False,"{'a': 0.002, 'e': 0.08274431235146412}",30,18,-23.651902264272508,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
1248,False,"{'a': 0.002, 'e': 0.08257898910511527}",20,6,25.995839888433068,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
